Time,Temperature,Humidity,Pressure,Altitude, PM1,PM2,PM3
1630651888.1397545,24.4427734375,37.16282156184801,1003.9973685009886,77.34027236592823,0,1,2
1630651889.6683538,24.4580078125,37.357732673018006,1004.0039984063633,77.14084428934187,0,1,2
1630651890.8369246,24.46328125,37.23288117731976,1004.000212738772,77.26119679569699,0,1,2
1630651892.0056307,24.4734375,37.30294563873107,1004.0052839526726,77.13526848239248,0,1,2
1630651893.1743596,24.48359375,37.19302488385652,1004.0105417280141,77.24888584353296,0,1,2
1630651894.3448246,24.48359375,37.28795334593357,1003.9972809435352,77.34621505845527,0,1,2
1630651895.513494,24.48359375,37.27800887319839,1004.0088841296779,77.10746036488783,0,1,2
1630651896.6816866,24.4939453125,37.21303984488452,1004.0207723181782,77.1277354208094,0,1,2
1630651897.8500323,24.4939453125,37.228032807092575,1004.0108266460654,77.23897036206134,0,1,2
1630651899.018974,24.5041015625,37.10313675240942,1004.0094538362283,77.22268424778758,0,1,2
1630651900.1873937,24.5041015625,37.113132620737446,1004.014426711911,77.13925738626688,0,1,2
1630651901.3567636,24.4939453125,37.13312426977325,1004.0075114226596,77.44753896924416,0,1,2
1630651902.5250454,24.4939453125,37.0781469538098,1004.0531669019374,76.94459721905147,0,1,2
1630651903.693793,24.4990234375,37.028211480446984,1004.0285870368452,77.13687590928173,0,1,2
1630651904.8627732,24.514453125,37.143143697475914,1004.0236140772373,76.97877979779193,0,1,2
1630651906.031616,24.514453125,37.06322117384175,1004.0225254937254,76.96011412210575,0,1,2
1630651907.2003803,24.524609375,37.0632901520807,1004.0424176572253,76.84649732907263,0,1,2
1630651908.36987,24.524609375,36.95328194564675,1004.0184507526697,77.25211563757887,0,1,2
1630651909.5387871,24.5451171875,37.023347623579454,1004.033938523809,77.2056467958022,0,1,2
1630651910.7070146,24.5451171875,37.07333240860401,1003.9924951872874,77.22594180228266,0,1,2
1630651911.87527,24.5552734375,36.96842907654503,1004.0271148763776,77.1655728095927,0,1,2
1630651913.0434747,24.5552734375,36.913442186745165,1003.9801301415397,77.30462959675177,0,1,2
1630651914.2118156,24.57578125,36.86347370348401,1004.0276819119681,76.90538923840202,0,1,2
1630651915.380467,24.580859375,36.943521005732734,1003.9945256273045,77.23675954691349,0,1,2
1630651916.5487447,24.57578125,37.01846063563761,1004.0186311920975,77.1370480088518,0,1,2
1630651917.716974,24.57578125,36.86855505997128,1004.0537292470569,76.93486022730087,0,1,2
1630651918.8858926,24.5859375,36.77858762388897,1004.0122828477791,76.87213340651039,0,1,2
1630651920.0547574,24.57578125,36.79354669949942,1004.0136576667736,77.2065788244731,0,1,2
1630651921.2242725,24.57578125,36.96349560895485,1004.0191972418086,77.27847803118944,0,1,2
1630651922.3927011,24.5859375,36.95349769846328,1004.0285782448778,77.13467983599116,0,1,2
1630651923.56083,24.57578125,36.92346091591203,1004.0227084672546,77.01426368957786,0,1,2
1630651924.729168,24.570703125,36.89850866852125,1004.017451637284,76.79177242230621,0,1,2
1630651925.8973753,24.57578125,36.753533353244045,1004.0094459514935,76.9817124174106,0,1,2
1630651927.0655406,24.57578125,36.83855972630959,1004.0186311920975,77.15095413611617,0,1,2
1630651928.2350123,24.5912109375,36.9085484291424,1004.0255456901771,76.86296150706194,0,1,2
1630651929.403814,24.5859375,36.83356047846737,1004.0222299791037,77.002023465789,0,1,2
1630651930.5734422,24.6064453125,36.69361604640777,1003.9744348155268,77.36359295035498,0,1,2
1630651931.7423952,24.5962890625,36.76860880252107,1004.0300399578855,77.02510426125191,0,1,2
1630651932.9111655,24.5962890625,36.68365339038249,1003.9943292200988,76.95557178558342,0,1,2
1630651934.080265,24.6064453125,36.94358550850284,1004.0118031008947,77.1387217547544,0,1,2
1630651935.2498593,24.6064453125,36.79864456111618,1004.0217504762502,77.06445967831995,0,1,2
1630651936.4195876,24.6115234375,36.93862859664829,1004.008769879606,77.21979757807907,0,1,2
1630651937.588559,24.6064453125,36.933671414119004,1003.9974468924308,77.0315173963851,0,1,2
1630651938.75838,24.6064453125,36.788684335239935,1004.0209402629016,76.84600330095263,0,1,2
1630651939.9273942,24.616796875,36.793664513167116,1004.0275720086169,76.9155373385657,0,1,2
1630651941.096908,24.6115234375,36.733687629173694,1004.0228805679316,77.06851379938524,0,1,2
1630651942.2680821,24.626953125,36.77370530363179,1004.0043609041429,77.2401210722566,0,1,2
1630651943.436952,24.626953125,36.723744845994645,1004.0436704199777,76.77883357996431,0,1,2
1630651944.6117911,24.616796875,36.85372037160951,1004.0420124419682,76.959620423872,0,1,2
1630651945.7826412,24.621875,36.65372727767018,1004.0384142037927,76.96644280389656,0,1,2
1630651946.9527636,24.626953125,36.83374149420209,1004.0370385084134,77.13568910788722,0,1,2
1630651948.121426,24.626953125,36.78872389823084,1004.0287486207354,76.9525356701858,0,1,2
1630651949.2914052,24.616796875,36.80870331374363,1003.9773513612125,77.44872878309255,0,1,2
