Time,Counts_Per_Minute
1632977269.761111,0
1632977329.8213804,5
1632977389.8816159,5
1632977449.88698,10
1632977509.8987827,13
1632977569.956919,15
1632977630.0171556,16
1632977690.0773983,17
1632977750.137649,21
1632977810.1978862,25
1632977870.2580926,28
