Time,Counts_Per_Minute
1632979365.8719397,0
1632979425.9316492,4
1632979485.9616518,16
1632979546.0218942,28
1632979606.0577693,37
1632979666.1180198,38
1632979726.1716049,39
1632979786.2318506,39
1632979846.2920783,41
